item_id,features
24960,"Battlefield: Bad Company™ 2, DICE, 2010"
8190,"Just Cause 2, Avalanche Studios, 2010"
49600,"Beat Hazard, Cold Beam Games, 2010"
21090,"F.E.A.R., Monolith Productions, Inc.,Timegate, 2005"
33930,"Arma 2: Operation Arrowhead, Bohemia Interactive, 2010"
50130,"Mafia II, 2K Czech,Feral Interactive (Mac), 2011"
62100,"Chime, Zoë Mode, 2010"
31280,"Poker Night at the Inventory, Telltale Games, 2010"
57300,"Amnesia: The Dark Descent, Frictional Games, 2010"
8930,"Sid Meier's Civilization® V, Firaxis Games,Aspyr (Mac, Linux), 2010"
41000,"Serious Sam HD: The First Encounter, Croteam, 2009"
41050,"Serious Sam Classic: The First Encounter, Croteam, 2001"
18040,"DeathSpank, Hothead Games, 2010"
22380,"Fallout: New Vegas, Obsidian Entertainment, 2010"
42700,"Call of Duty®: Black Ops, Treyarch, 2010"
40800,"Super Meat Boy, Team Meat, 2010"
9500,"Gish, Cryptic Sea, 2004"
70400,"Recettear: An Item Shop's Tale, EasyGameStation, 2010"
41300,"Altitude, Nimbly Games, 2009"
41800,"Gratuitous Space Battles, Positech Games, 2009"
63200,"Monday Night Combat, Uber Entertainment, 2011"
620,"Portal 2, Valve, 2011"
42910,"Magicka, Arrowhead Game Studios, 2011"
18500,"Defense Grid: The Awakening, Hidden Path Entertainment, 2008"
20920,"The Witcher 2: Assassins of Kings Enhanced Edition, CD PROJEKT RED, 2011"
105600,"Terraria, Re-Logic, 2011"
98200,"Frozen Synapse, Mode 7, 2011"
15620,"Warhammer 40,000: Dawn of War II, Relic Entertainment,Feral Interactive (Mac/Linux), 2009"
20570,"Warhammer® 40,000: Dawn of War® II Chaos Rising, Relic Entertainment,Feral Interactive (Mac/Linux), 2010"
50620,"Darksiders™, Vigil Games, 2010"
55100,"Homefront, Kaos Studios,Digital Extremes, 2011"
96100,"Defy Gravity Extended, Paul Fisch, 2016"
35450,"Red Orchestra 2: Heroes of Stalingrad with Rising Storm, Tripwire Interactive, 2011"
107100,"Bastion, Supergiant Games, 2011"
57690,"Tropico 4, Haemimont Games, 2011"
113200,"The Binding of Isaac, Edmund McMillen and Florian Himsl, 2011"
65800,"Dungeon Defenders, Trendy Entertainment, 2011"
9200,"RAGE, id Software, 2011"
48950,"Greed Corp, Vanguard Games, 2010"
92800,"SpaceChem, Zachtronics, 2011"
104700,"Super MNC, Uber Entertainment, 2012"
203770,"Crusader Kings II, Paradox Development Studio, 2012"
110800,"L.A. Noire, Team Bondi,Rockstar Leeds, 2011"
207610,"The Walking Dead, Telltale Games, 2012"
98300,"Toy Soldiers, Signal Studios, 2012"
50300,"Spec Ops: The Line, Yager Development, 2012"
205100,"Dishonored, Arkane Studios, 2012"
730,"Counter-Strike: Global Offensive, Valve, 2012"
49520,"Borderlands 2, Gearbox Software,Aspyr (Mac &amp; Linux), 2012"
200260,"Batman: Arkham City - Game of the Year Edition, Rocksteady Studios,Feral Interactive (Mac), 2012"
212680,"FTL: Faster Than Light, Subset Games, 2012"
200710,"Torchlight II, Runic Games, 2012"
8870,"BioShock Infinite, Irrational Games,Aspyr (Mac),Virtual Programming (Linux), 2013"
200510,"XCOM: Enemy Unknown, Firaxis Games,Feral Interactive (Mac),Feral Interactive (Linux), 2012"
220240,"Far Cry 3, Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai, 2012"
228280,"Baldur's Gate: Enhanced Edition, Beamdog, 2013"
218230,"PlanetSide 2, Daybreak Game Company, 2012"
227080,"Papo &amp; Yo, Minority Media Inc., 2013"
233450,"Prison Architect, Introversion Software, 2015"
222730,"Reus, Abbey Games, 2013"
241600,"Rogue Legacy, Cellar Door Games, 2013"
217140,"Rise of the Triad, Interceptor Entertainment, 2013"
39140,"FINAL FANTASY VII, Square Enix, 2013"
239030,"Papers, Please, 3909, 2013"
248820,"Risk of Rain, Hopoo Games, LLC, 2013"
236850,"Europa Universalis IV, Paradox Development Studio, 2013"
47790,"Medal of Honor™, Electronic Arts, 2010"
250320,"The Wolf Among Us, Telltale Games, 2013"
250900,"The Binding of Isaac: Rebirth, Nicalis, Inc., 2014"
204450,"Call of Juarez® Gunslinger, Techland, 2013"
251990,"Long Live The Queen, Hanako Games, 2013"
236450,"PAC-MAN™ Championship Edition DX+, Mine Loader Software Co., Ltd., 2013"
242050,"Assassin’s Creed® IV Black Flag™, Ubisoft Montreal, 2013"
213670,"South Park™: The Stick of Truth™, Obsidian Entertainment, 2014"
238010,"Deus Ex: Human Revolution - Director's Cut, Eidos Montreal,Feral Interactive (Mac), 2013"
245470,"Democracy 3, Positech Games, 2013"
221910,"The Stanley Parable, Galactic Cafe, 2013"
260230,"Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™, Ubisoft Montpellier, 2014"
238430,"Contagion, Monochrome, Inc, 2013"
261030,"The Walking Dead: Season 2, Telltale Games, 2013"
261570,"Ori and the Blind Forest, Moon Studios GmbH, 2015"
39150,"FINAL FANTASY VIII, Square Enix, 2013"
230230,"Divinity: Original Sin (Classic), Larian Studios, 2014"
232790,"Broken Age, Double Fine Productions, 2014"
237990,"The Banner Saga, Stoic, 2014"
222880,"Insurgency, New World Interactive, 2014"
280220,"Creeper World 3: Arc Eternal, Knuckle Cracker, 2014"
236430,"DARK SOULS™ II, FromSoftware, Inc, 2014"
201810,"Wolfenstein: The New Order, Machine Games, 2014"
294860,"Valkyria Chronicles™, SEGA, 2014"
238460,"BattleBlock Theater®, The Behemoth, 2014"
237930,"Transistor, Supergiant Games, 2014"
306660,"Ultimate General: Gettysburg, Game-Labs, 2014"
316790,"Grim Fandango Remastered, Double Fine Productions, 2015"
241930,"Middle-earth™: Shadow of Mordor™, Monolith Productions,Feral Interactive (Mac),Feral Interactive (Linux), 2014"
282070,"This War of Mine, 11 bit studios, 2014"
333930,"Dirty Bomb®, Splash Damage, 2015"
319630,"Life is Strange - Episode 1, DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux), 2015"
346010,"Besiege, Spiderling Studios, 2015"
255710,"Cities: Skylines, Colossal Order Ltd., 2015"
232090,"Killing Floor 2, Tripwire Interactive, 2016"
377160,"Fallout 4, Bethesda Game Studios, 2015"
340170,"FINAL FANTASY TYPE-0™ HD, Square Enix, 2015"
391540,"Undertale, tobyfox, 2015"
368230,"Kingdom: Classic, Noio,Licorice, 2015"
289130,"Endless Legend™, AMPLITUDE Studios, 2014"
273350,"Evolve Stage 2, Turtle Rock Studios, 2015"
3910,"Sid Meier's Civilization® III Complete, Firaxis Games, 2001"
4000,"Garry's Mod, Facepunch Studios, 2006"
2200,"Quake III Arena, id Software, 1999"
2310,"QUAKE, id Software, 2007"
4760,"Rome: Total War™ - Collection, The Creative Assembly, 2004"
21000,"LEGO Batman, Traveller's Tales, 2008"
24740,"Burnout Paradise: The Ultimate Box, Criterion Games, 2009"
22330,"The Elder Scrolls IV: Oblivion® Game of the Year Edition, Bethesda Game Studios, 2007"
24800,"Command &amp; Conquer: Red Alert 3 - Uprising, EA Los Angeles, 2009"
70100,"Hacker Evolution, exosyphen studios, 2010"
9940,"Blade Kitten, Krome Studios, 2010"
57600,"Tropico 3: Absolute Power, Haemimont Games, 2010"
47810,"Dragon Age: Origins - Ultimate Edition, BioWare, 2010"
63700,"BIT.TRIP BEAT, Gaijin Games, 2010"
72200,"Universe Sandbox, Giant Army, 2011"
91900,"Post Apocalyptic Mayhem, Steel Monkeys, 2011"
70000,"Dino D-Day, 800 North and Digital Ranch, 2011"
91600,"Sanctum, Coffee Stain Studios, 2011"
104200,"BEEP, Big Fat Alien, 2011"
92100,"DETOUR, Sandswept Studios, 2011"
98800,"Dungeons of Dredmor, Gaslamp Games, Inc., 2011"
22230,"Rock of Ages, ACE Team, 2011"
107200,"Space Pirates and Zombies, MinMax Games Ltd., 2011"
111800,"Blocks That Matter, Swing Swing Submarine, 2011"
17710,"Nuclear Dawn, GameConnect,InterWave Studios, 2011"
102840,"Shank 2, Klei Entertainment, 2012"
55230,"Saints Row: The Third, Volition, 2011"
115100,"Costume Quest, Double Fine Productions, 2011"
80310,"Gemini Rue, Joshua Neurnberger, 2011"
105450,"Age of Empires® III: Complete Collection, Ensemble Studios, 2009"
205610,"Port Royale 3, Gaming Minds, 2012"
104900,"ORION: Prelude, Trek Industries, Inc, 2013"
204180,"Waveform, Eden Industries, 2012"
108800,"Crysis 2 - Maximum Edition, Crytek Studios, 2011"
204100,"Max Payne 3, Rockstar Studios, 2012"
207080,"Indie Game: The Movie, BlinkWorks Media, 2012"
201790,"Orcs Must Die! 2, Robot Entertainment, 2012"
35140,"Batman: Arkham Asylum Game of the Year Edition, Rocksteady Studios,Feral Interactive (Mac), 2010"
204300,"Awesomenauts - the 2D moba, Ronimo Games, 2012"
72000,"Closure, Eyebrow Interactive, 2012"
218640,"Lucius, Shiver Games, 2012"
209540,"Strike Suit Zero, Born Ready Games Ltd., 2013"
214560,"Mark of the Ninja, Klei Entertainment, 2012"
206440,"To the Moon, Freebird Games, 2011"
204360,"Castle Crashers®, The Behemoth, 2012"
219910,"Edna &amp; Harvey: Harvey's New Eyes, Daedalic Entertainment, 2012"
220860,"McPixel, Sos, 2012"
34030,"Napoleon: Total War™, The Creative Assembly,Feral Interactive (Mac), 2010"
211160,"Viking: Battle for Asgard, Creative Assembly, PC Port - Hardlight, 2012"
219150,"Hotline Miami, Dennaton Games, 2012"
218680,"Scribblenauts Unlimited, 5th Cell Media, 2012"
4920,"Natural Selection 2, Unknown Worlds Entertainment, 2012"
38600,"Faerie Solitaire, Subsoap, 2010"
223470,"POSTAL 2, Running With Scissors, 2003"
203140,"Hitman: Absolution™, Io-Interactive A/S,Feral Interactive (Mac), 2012"
221640,"Super Hexagon, Terry Cavanagh, 2012"
4570,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition, Relic Entertainment, 2006"
71230,"Crazy Taxi, SEGA, 2011"
35720,"Trine 2: Complete Story, Frozenbyte, 2013"
209270,"Hero Academy, Robot Entertainment, 2012"
227300,"Euro Truck Simulator 2, SCS Software, 2013"
204080,"The Showdown Effect, Arrowhead Game Studios, 2013"
219890,"Antichamber, Alexander Bruce, 2013"
286080,"Thinking with Time Machine, Stridemann, 2014"
225260,"Brutal Legend, Double Fine Productions, 2013"
218060,"BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien, Gaijin Games, 2013"
227260,"DisplayFusion, Binary Fortress Software, 2013"
203160,"Tomb Raider, Crystal Dynamics,Feral Interactive (Mac),Feral Interactive (Linux), 2013"
225420,"Cities in Motion 2, Colossal Order Ltd., 2013"
234490,"Rush Bros., XYLA Entertainment, 2013"
233740,"Organ Trail: Director's Cut, The Men Who Wear Many Hats, 2013"
235360,"Prime World: Defenders, Nival, 2013"
233720,"Surgeon Simulator, Bossa Studios, 2013"
234710,"Poker Night 2, Telltale Games, 2013"
220900,"Jack Lumber, Owlchemy Labs, 2013"
210770,"Sanctum 2, Coffee Stain Studios, 2013"
113020,"Monaco: What's Yours Is Mine, Pocketwatch Games, 2013"
235250,"Super Sanctum TD, Coffee Stain Studios, 2013"
322330,"Don't Starve Together, Klei Entertainment, 2016"
234650,"Shadowrun Returns, Harebrained Schemes, 2013"
236730,"Anomaly 2, 11 bit studios, 2013"
233270,"Far Cry 3 - Blood Dragon, Ubisoft Montreal, 2013"
236090,"Dust: An Elysian Tail, Humble Hearts LLC, 2013"
231160,"The Swapper, Olli Harjola, Otto Hantula, Tom Jubert, Carlo Castellano, 2013"
231740,"Knights of Pen and Paper +1 Edition, Behold Studios, 2013"
242760,"The Forest, Endnight Games Ltd, 2014"
242800,"Day One : Garry's Incident, Wild Games Studio, 2013"
242920,"Banished, Shining Rock Software LLC, 2014"
228960,"Skulls of the Shogun, 17-BIT, 2013"
201420,"Toki Tori 2+, Two Tribes, 2013"
244770,"StarMade, Schine, GmbH, 2014"
9480,"Saints Row 2, Volition, 2009"
40390,"Risen 2: Dark Waters, Piranha Bytes, 2012"
246420,"Kingdom Rush, Ironhide Game Studio, 2014"
234390,"Teleglitch: Die More Edition, Test3 Projects, 2013"
247020,"Cook, Serve, Delicious!, Vertigo Gaming Inc., 2013"
214770,"Guacamelee! Gold Edition, DrinkBox Studios, 2013"
243780,"PixelJunk™ Monsters Ultimate, Double Eleven,Q-Games Ltd., 2013"
244590,"Epigenesis, Dead Shark Triplepunch, 2014"
206420,"Saints Row IV, Deep Silver Volition, 2013"
209000,"Batman™: Arkham Origins, WB Games Montreal,Splash Damage, 2013"
239820,"Game Dev Tycoon, Greenheart Games, 2013"
250260,"Jazzpunk: Director's Cut, Necrophone Games, 2014"
250580,"Paranautical Activity: Deluxe Atonement Edition, Digerati Distribution, 2013"
111900,"Guardians of Middle-earth, Zombie Studios, 2013"
252490,"Rust, Facepunch Studios, 2013"
241540,"State of Decay, Undead Labs, 2013"
231140,"Cities XL Platinum, Focus Home Interactive, 2013"
205650,"The Testament of Sherlock Holmes, Frogwares, 2012"
217690,"Anna - Extended Edition, Dreampainters, 2013"
57740,"Jagged Alliance - Back in Action, Coreplay GmbH,Bigmoon Studios, 2012"
245620,"Tropico 5, Haemimont Games, 2014"
239160,"Thief, Eidos-Montréal,Feral Interactive (Mac), 2014"
233130,"Shadow Warrior, Flying Wild Hog, 2013"
214870,"Painkiller Hell &amp; Damnation, The Farm 51, 2012"
257830,"Violett Remastered, Forever Entertainment S. A., 2013"
235800,"Audiosurf 2, Dylan Fitterer, 2015"
258950,"Montague's Mount, PolyPusher Studios, 2013"
259390,"Ballpoint Universe - Infinite, Arachnid Games, 2013"
259620,"3079 -- Block Action RPG, Phr00t's Software, 2011"
212480,"Sonic &amp; All-Stars Racing Transformed, Sumo Digital, 2013"
252150,"Grimm, Spicyhorse Games, 2014"
262260,"Jets'n'Guns Gold, Rake in Grass, 2014"
221380,"Age of Empires II HD, Skybox Labs,Hidden Path Entertainment,Ensemble Studios, 2013"
263280,"SPINTIRES™, Oovee® Game Studios, 2014"
263360,"3089 -- Futuristic Action RPG, Phr00t's Software, 2014"
263980,"Out There Somewhere, MiniBoss, 2016"
264140,"Pixel Piracy, Vitali Kirpu, 2015"
264280,"99 Levels To Hell, Zaxis Games,B-evil, 2014"
265870,"Alpha Kimori™ 1, Sherman3D, 2014"
265930,"Goat Simulator, Coffee Stain Studios, 2014"
266010,"LYNE, Thomas Bowker, 2014"
266390,"Farm for your Life, Hammer Labs, 2013"
267600,"Airport Simulator 2014, United Independent Entertainment GmbH, 2013"
268850,"EVGA Precision XOC, EVGA, 2014"
269270,"LOVE, Fred Wood, 2014"
270550,"Yet Another Zombie Defense, Awesome Games Studio, 2014"
96200,"Steel Storm: Burning Retribution, Kot in Action Creative Artel, 2011"
260210,"Assassin’s Creed® Liberation HD, Ubisoft Sofia, 2014"
224480,"Octodad: Dadliest Catch, Young Horses, 2014"
274560,"Revolution Ace, Laser Guided Games, LLC, 2014"
275490,"Canyon Capers, Crazy Moo Games, 2014"
277430,"Halo: Spartan Assault, Vanguard Games,343 Industries, 2014"
246620,"Plague Inc: Evolved, Ndemic Creations, 2016"
282140,"SOMA, Frictional Games, 2015"
282800,"100% Orange Juice, Orange_Juice, 2013"
283960,"Pajama Sam: No Need to Hide When It's Dark Outside, Humongous Entertainment, 1996"
286500,"House of 1,000 Doors: Family Secrets Collector's Edition, Alawar, 2014"
231430,"Company of Heroes 2, Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux), 2013"
258180,"Deus Ex: The Fall, Square Enix, 2014"
287840,"TY the Tasmanian Tiger 4, Krome Studios, 2015"
289650,"Assassin's Creed® Unity, Ubisoft, 2014"
233290,"Murdered: Soul Suspect, Airtight Games, 2014"
289760,"ROCKETSROCKETSROCKETS, Radial Games Corp,Loren Bednar,Dr. Kimberly Voll,Lindsay Jorgensen, 2015"
291270,"Vitrum, 9heads Game Studios, 2012"
294230,"Millie, Forever Entertainment S. A., 2014"
296470,"Mount Your Friends, Stegersaurus Software Inc., 2014"
300550,"Shadowrun: Dragonfall - Director's Cut, Harebrained Schemes, 2014"
301190,"Frederic: Resurrection of Music, Forever Entertainment S. A., 2014"
286690,"Metro 2033 Redux, 4A Games, 2014"
287390,"Metro: Last Light Redux, 4A Games, 2014"
244160,"Homeworld Remastered Collection, Gearbox Software,Aspyr (Mac), 2015"
303390,"Dead Bits, Microblast Games, 2014"
306020,"Bloons TD 5, Ninja Kiwi, 2014"
250400,"How to Survive, Eko Software, 2013"
63380,"Sniper Elite V2, Rebellion, 2012"
237850,"Dreamfall Chapters, Red Thread Games, 2017"
312280,"Simply Chess, BlueLine Games, 2015"
317400,"Portal Stories: Mel, Prism Game Studios Ltd., 2015"
253510,"WARMACHINE: Tactics, WhiteMoon Dreams, 2014"
318100,"AXYOS, Axyos Games, 2014"
318230,"Convoy, Convoy Games, 2015"
319970,"The Detail, Rival Games Ltd, 2014"
45100,"Secret of the Magic Crystals, Artery Games, 2010"
289930,"TransOcean: The Shipping Company, Deck13 Hamburg, 2014"
287450,"Rise of Nations: Extended Edition, SkyBox Labs,Big Huge Games, 2014"
241260,"Sherlock Holmes: Crimes and Punishments, Frogwares, 2014"
302510,"Ryse: Son of Rome, Crytek, 2014"
214490,"Alien: Isolation, Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux), 2014"
221540,"DG2: Defense Grid 2, Hidden Path Entertainment, 2014"
316260,"Disney Universe, Eurocom, 2011"
327740,"Tron 2.0, Monolith Productions, Inc., 2003"
24240,"PAYDAY™ The Heist, OVERKILL Software, 2011"
329830,"The Moon Sliver, David Szymanski, 2014"
211420,"DARK SOULS™: Prepare To Die™ Edition, FromSoftware, 2012"
305620,"The Long Dark, Hinterland Studio Inc., 2017"
335240,"Transformice, Atelier 801, 2015"
257510,"The Talos Principle, Croteam, 2014"
339800,"HuniePop, HuniePot, 2015"
340300,"Teddy Floppy Ear - Mountain Adventure, Forever Entertainment S. A., 2015"
335660,"CAFE 0 ~The Drowned Mermaid~, roseVeRte, 2011"
344040,"Voxelized, Lord Kres, 2015"
301910,"Saints Row: Gat out of Hell, Deep Silver Volition,High Voltage Software, 2015"
345440,"Vapour, Skobbejak Games, 2015"
346110,"ARK: Survival Evolved, Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC, 2017"
346900,"AdVenture Capitalist, Hyper Hippo Games, 2015"
348670,"Immune - True Survival, vidiludi games and entertainment, 2015"
311560,"Assassin’s Creed® Rogue, Ubisoft Sofia,Ubisoft Kiev, 2015"
356570,"Party Hard, Pinokl Games,Kverta, 2015"
359040,"The Music Machine, David Szymanski, 2015"
359050,"Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad, marbenx, 2015"
360640,"12 Labours of Hercules II: The Cretan Bull, Jetdogs Studios,Zoom Out Games, 2015"
360730,"Cards and Castles, Red Team Games, 2015"
362890,"Black Mesa, Crowbar Collective, 2015"
363490,"Escape Machines, Mint Age Studios, 2015"
365450,"Hacknet, Team Fractal Alligator, 2015"
238370,"Magicka 2, Pieces Interactive, 2015"
371420,"Teddy Floppy Ear - The Race, Forever Entertainment S. A., 2015"
375510,"New kind of adventure, Mint Age Studios, 2015"
267750,"Shadowrun Chronicles - Boston Lockdown, Cliffhanger Productions, 2015"
376870,"Minecraft: Story Mode - A Telltale Games Series, Telltale Games, 2015"
312530,"Duck Game, Landon Podbielski, 2015"
208650,"Batman™: Arkham Knight, Rocksteady Studios, 2015"
367580,"Hook, Maciej Targoni,Wojciech Wasiak, 2015"
385830,"Burgers, storm_sharks, 2015"
388080,"Borderless Gaming, AndrewMD5,Codeusa, 2015"
391070,"Stellar 2D, quad games, 2015"
398710,"Timberman, Digital Melody, 2015"
399430,"Tinboy, Razvan, 2015"
403570,"Stigmat, Akakiy Petrushkin, 2015"
403900,"Clergy Splode, PiGravity, 2015"
403740,"GabeN: The Final Decision, Alex Zhang, 2015"
410210,"Ampersand, PiGravity, 2015"
415420,"Nyan Cat: Lost In Space, isTom Games Kft., 2015"
418070,"Turbo Pug, Space Cat Studios,SnowFlame,Back To Basics Gaming, 2015"
418910,"Idle Civilization, Very Simple Idea Studios, 2015"
285330,"RollerCoaster Tycoon® 2: Triple Thrill Pack, Chris Sawyer Productions, 2002"
1200,"Red Orchestra: Ostfront 41-45, Tripwire Interactive, 2006"
1520,"DEFCON, Introversion Software, 2006"
13250,"Unreal Gold, Epic Games, Inc., 1998"
35420,"Defence Alliance 2, Defence Alliance Team, 2009"
2280,"Ultimate Doom, id Software, 1995"
2300,"DOOM II, id Software, 1994"
9050,"DOOM 3, id Software, 2004"
9180,"Commander Keen, id Software, 1990"
22350,"BRINK, Splash Damage, 2011"
2820,"X3: Terran Conflict, Egosoft, 2008"
201310,"X3: Albion Prelude, Egosoft, 2011"
212070,"Star Conflict, Star Gem Inc., 2013"
230410,"Warframe, Digital Extremes, 2013"
3483,"Peggle Extreme, PopCap Games, Inc., 2007"
224500,"Gnomoria, Robotronic Games, 2016"
238240,"Edge of Space, Handyman Studios, 2015"
248390,"Craft The World, Dekovir Entertainment, 2014"
2870,"X Rebirth, Egosoft, 2013"
254200,"FortressCraft Evolved!, ProjectorGames, 2015"
226620,"Desktop Dungeons, QCF Design, 2013"
211820,"Starbound, Chucklefish, 2016"
285310,"RollerCoaster Tycoon®: Deluxe, Chris Sawyer Productions, 1999"
226860,"Galactic Civilizations III, Stardock Entertainment, 2015"
38410,"Fallout 2: A Post Nuclear Role Playing Game, Black Isle Studios, 1998"
310380,"Fractured Space, Edge Case Games Ltd., 2016"
247080,"Crypt of the NecroDancer, Brace Yourself Games, 2015"
324260,"VoidExpanse, AtomicTorch Studio, 2015"
275670,"Space Run, Passtech Games, 2014"
340580,"Armed with Wings: Rearmed, Sun-Studios, 2017"
344850,"Big Pharma, Twice Circled, 2015"
298180,"The Desolate Hope, Scott Cawthon, 2014"
370360,"TIS-100, Zachtronics, 2015"
383120,"Empyrion - Galactic Survival, Eleon Game Studios, 2015"
234140,"Mad Max, Avalanche Studios,Feral Interactive (Mac/Linux), 2015"
404410,"Endless Sky, Michael Zahniser, 2015"
12100,"Grand Theft Auto III, Rockstar Games, 2002"
12120,"Grand Theft Auto: San Andreas, Rockstar Games, 2005"
2700,"RollerCoaster Tycoon® 3: Platinum, Frontier,Aspyr (Mac), 2006"
15100,"Assassin's Creed™: Director's Cut Edition, Ubisoft Montreal, 2008"
16600,"Trials 2: Second Edition, Redlynx, 2008"
12360,"FlatOut: Ultimate Carnage, Bugbear Entertainment, 2008"
12200,"Bully: Scholarship Edition, Rockstar New England, 2008"
21660,"Street Fighter® IV, Capcom, 2009"
13570,"Tom Clancy's Splinter Cell Chaos Theory®, Ubisoft Montreal, 2005"
40700,"Machinarium, Amanita Design, 2009"
32430,"STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition, LucasArts,Aspyr Studios, 2009"
40930,"The Misadventures of P.B. Winterbottom, The Odd Gentlemen, 2010"
12220,"Grand Theft Auto: Episodes from Liberty City, Rockstar North / Toronto, 2010"
34010,"Alpha Protocol™, Obsidian Entertainment, 2010"
7770,"X-COM: Enforcer, MicroProse Software, Inc, 2001"
16810,"Sid Meier's Civilization IV: Colonization, Firaxis Games, 2008"
45740,"Dead Rising® 2, Capcom Vancouver, 2010"
70300,"VVVVVV, Terry Cavanagh, 2010"
47870,"Need For Speed: Hot Pursuit, Criterion Games, 2010"
50510,"Burn Zombie Burn!, doublesix, 2010"
18000,"Precipice of Darkness, Episode One, Hothead Games, 2008"
48190,"Assassin’s Creed® Brotherhood, Ubisoft Montreal, 2011"
63710,"BIT.TRIP RUNNER, Gaijin Games, 2011"
92000,"Hydrophobia: Prophecy, Dark Energy Digital Ltd., 2011"
45760,"Ultra Street Fighter® IV, Capcom, 2014"
48000,"LIMBO, Playdead, 2011"
204060,"Superbrothers: Sword &amp; Sworcery EP, Capybara,Superbrothers,Jim Guthrie, 2012"
209830,"Lone Survivor: The Director's Cut, Jasper Byrne, 2012"
108710,"Alan Wake, Remedy Entertainment, 2012"
220780,"Thomas Was Alone, Bithell Games, 2012"
55110,"Red Faction®: Armageddon™, Volition, 2011"
224760,"FEZ, Polytron Corporation, 2013"
228300,"Remember Me, DONTNOD Entertainment, 2013"
206190,"Gunpoint, Suspicious Developments, 2013"
208730,"Game of Thrones, Cyanide Studios, 2012"
351510,"Quiplash, Jackbox Games, Inc., 2015"
370240,"NBA 2K16, Visual Concepts, 2015"
20,"Team Fortress Classic, Valve, 1999"
50,"Half-Life: Opposing Force, Gearbox Software, 1999"
70,"Half-Life, Valve, 1998"
130,"Half-Life: Blue Shift, Gearbox Software, 2001"
40,"Deathmatch Classic, Valve, 2001"
80,"Counter-Strike: Condition Zero, Valve, 2004"
2400,"The Ship: Murder Party, Outerlight Ltd., 2006"
2420,"The Ship: Single Player, Outerlight Ltd., 2006"
6860,"Hitman: Blood Money, Io-Interactive A/S, 2006"
